18-06-2018 0:00,6713.488
19-06-2018 0:00,6737
20-06-2018 0:00,6714.718333
21-06-2018 0:00,6733.901667
22-06-2018 0:00,6332.573333
23-06-2018 0:00,6141.605833
24-06-2018 0:00,6037.008333
25-06-2018 0:00,6211.4475
26-06-2018 0:00,6218.595
27-06-2018 0:00,6105.295
28-06-2018 0:00,6107.896154
29-06-2018 0:00,5908.7025
30-06-2018 0:00,6381.390833
01-07-2018 0:00,6374.754167
02-07-2018 0:00,6466.069167
03-07-2018 0:00,6613.685833
04-07-2018 0:00,6593.289167
05-07-2018 0:00,6603.376667
06-07-2018 0:00,6569.496154
07-07-2018 0:00,6594.281667
08-07-2018 0:00,6753.559167
09-07-2018 0:00,6723.8725
10-07-2018 0:00,6510.791667
11-07-2018 0:00,6377.363333
12-07-2018 0:00,6233.595
13-07-2018 0:00,6244.3575
14-07-2018 0:00,6241
15-07-2018 0:00,6316.881667
16-07-2018 0:00,6514.390833
17-07-2018 0:00,6869.910833
18-07-2018 0:00,7398.661667
19-07-2018 0:00,7396.401667
20-07-2018 0:00,7428.045
21-07-2018 0:00,7352.495385
22-07-2018 0:00,7451.289167
23-07-2018 0:00,7689.884167
24-07-2018 0:00,8112.93
25-07-2018 0:00,8251.165
26-07-2018 0:00,8187.324167
27-07-2018 0:00,8025.2575
28-07-2018 0:00,8182.251667
29-07-2018 0:00,8206.341667
30-07-2018 0:00,8143.148333
31-07-2018 0:00,7916.800833
01-08-2018 0:00,7570.869167
02-08-2018 0:00,7593.149167
03-08-2018 0:00,7394.499167
04-08-2018 0:00,7247.769167
05-08-2018 0:00,6998.718333
06-08-2018 0:00,6988.079167
07-08-2018 0:00,6993.513333
08-08-2018 0:00,6450.366923
09-08-2018 0:00,6396.7725
10-08-2018 0:00,6396.494667
11-08-2018 0:00,6195.653333
12-08-2018 0:00,6311.131667
13-08-2018 0:00,6347.07
14-08-2018 0:00,6050.9425
15-08-2018 0:00,6362.676923
16-08-2018 0:00,6342.629231
17-08-2018 0:00,6476.9
18-08-2018 0:00,6436.720833
19-08-2018 0:00,6404.063333
20-08-2018 0:00,6434.559167
21-08-2018 0:00,6401.246154
22-08-2018 0:00,6575.229167
23-08-2018 0:00,6434.881667
24-08-2018 0:00,6543.645714
25-08-2018 0:00,6719.429231
26-08-2018 0:00,6673.274167
27-08-2018 0:00,6719.266154
28-08-2018 0:00,7000.04
29-08-2018 0:00,7054.276429
30-08-2018 0:00,6932.6625
31-08-2018 0:00,6981.946154
01-09-2018 0:00,7100.946667
02-09-2018 0:00,7247.935385
03-09-2018 0:00,7260.949231
04-09-2018 0:00,7326.8525
05-09-2018 0:00,7113.069231
06-09-2018 0:00,6433.271667
07-09-2018 0:00,6444.804167
08-09-2018 0:00,6366.1075
09-09-2018 0:00,6286.425833
10-09-2018 0:00,6297.877692
11-09-2018 0:00,6296.320833
12-09-2018 0:00,6273.1375
13-09-2018 0:00,6450.179231
14-09-2018 0:00,6499.0625
15-09-2018 0:00,6518.655
16-09-2018 0:00,6480.644167
17-09-2018 0:00,6400.600833
18-09-2018 0:00,6296.631667
19-09-2018 0:00,6335.826667
20-09-2018 0:00,6418.562667
21-09-2018 0:00,6669.990833
22-09-2018 0:00,6709.3125
23-09-2018 0:00,6710.445
24-09-2018 0:00,6639.304167
25-09-2018 0:00,6412.459167
26-09-2018 0:00,6468.631667
27-09-2018 0:00,6535.476667
28-09-2018 0:00,6677.3425
29-09-2018 0:00,6550.474167
30-09-2018 0:00,6593.135
01-10-2018 0:00,6590.968333
02-10-2018 0:00,6562.641667
03-10-2018 0:00,6470.4025
04-10-2018 0:00,6563.628333
05-10-2018 0:00,6568.549167
06-10-2018 0:00,6581.486667
07-10-2018 0:00,6558.5375
08-10-2018 0:00,6618.567692
09-10-2018 0:00,6621.711667
10-10-2018 0:00,6563.009167
11-10-2018 0:00,6248.635833
12-10-2018 0:00,6260.530833
13-10-2018 0:00,6260.645833
14-10-2018 0:00,6299.399167
15-10-2018 0:00,6452.571667
16-10-2018 0:00,6596.618333
17-10-2018 0:00,6596.276154
18-10-2018 0:00,6568.040769
19-10-2018 0:00,6487.444167
20-10-2018 0:00,6488.825833
21-10-2018 0:00,6531.601667
22-10-2018 0:00,6498.485833
23-10-2018 0:00,6481.426
24-10-2018 0:00,6508.31
25-10-2018 0:00,6478.0825
26-10-2018 0:00,6473.753333
27-10-2018 0:00,6465.9175
28-10-2018 0:00,6448.221667
29-10-2018 0:00,6382.668333
30-10-2018 0:00,6309.452857
31-10-2018 0:00,6310.284167
01-11-2018 0:00,6342.280833
02-11-2018 0:00,6387.674167
03-11-2018 0:00,6363.795833
04-11-2018 0:00,6391.873333
05-11-2018 0:00,6436.965
06-11-2018 0:00,6445.354167
07-11-2018 0:00,6538.79
08-11-2018 0:00,6486.251667
09-11-2018 0:00,6411.280833
10-11-2018 0:00,6399.033333
11-11-2018 0:00,6378.268333
12-11-2018 0:00,6401.936667
13-11-2018 0:00,6372.063333
14-11-2018 0:00,6176.155
15-11-2018 0:00,5615.18
16-11-2018 0:00,5596.1925
17-11-2018 0:00,5558.243333
18-11-2018 0:00,5606.044167
19-11-2018 0:00,5303.9425
20-11-2018 0:00,4671.97
21-11-2018 0:00,4533.680833
22-11-2018 0:00,4548.7975
23-11-2018 0:00,4309.3375
24-11-2018 0:00,4293.840833
25-11-2018 0:00,3823.511667
26-11-2018 0:00,3920.536667
27-11-2018 0:00,3751.668333
28-11-2018 0:00,4103.453846
29-11-2018 0:00,4263.783333
30-11-2018 0:00,4106.871667
01-12-2018 0:00,4116.7775
02-12-2018 0:00,4167.546667
03-12-2018 0:00,3967.524167
04-12-2018 0:00,3961.493333
05-12-2018 0:00,3858.349167
06-12-2018 0:00,3742.943333
07-12-2018 0:00,3405.643333
08-12-2018 0:00,3435.34
09-12-2018 0:00,3528.803333
10-12-2018 0:00,3523.96
11-12-2018 0:00,3426.19
12-12-2018 0:00,3462.04
13-12-2018 0:00,3406.7625
14-12-2018 0:00,3278.374167
15-12-2018 0:00,3225.299167
16-12-2018 0:00,3271.238333
17-12-2018 0:00,3392.405
18-12-2018 0:00,3567.47
19-12-2018 0:00,3808.0425
20-12-2018 0:00,3982.850833
21-12-2018 0:00,4015.609167
22-12-2018 0:00,3910.973333
23-12-2018 0:00,4027.478333
24-12-2018 0:00,4178.590833
25-12-2018 0:00,3813.88
26-12-2018 0:00,3825.379167
27-12-2018 0:00,3747.839167
28-12-2018 0:00,3743.905
29-12-2018 0:00,3912.285833
30-12-2018 0:00,3832.921667
31-12-2018 0:00,3791.545833
01-01-2019 0:00,3752.271667
02-01-2019 0:00,3867.138333
03-01-2019 0:00,3865.7975
04-01-2019 0:00,3822.626667
05-01-2019 0:00,3868.4875
06-01-2019 0:00,3920.456667
07-01-2019 0:00,4036.093333
08-01-2019 0:00,4035.855
09-01-2019 0:00,4034.138333
10-01-2019 0:00,3812.585833
11-01-2019 0:00,3656.735833
12-01-2019 0:00,3646.345833
13-01-2019 0:00,3599.841667
14-01-2019 0:00,3604.1175
15-01-2019 0:00,3656.785
16-01-2019 0:00,3621.270833
17-01-2019 0:00,3619.964167
18-01-2019 0:00,3632.395
19-01-2019 0:00,3690.523333
20-01-2019 0:00,3620.1275
21-01-2019 0:00,3548.4275
22-01-2019 0:00,3558.924167
23-01-2019 0:00,3579.896667
24-01-2019 0:00,3567.299167
25-01-2019 0:00,3572.735
